Autor	Partia	Data	Temat (krótki opis)	Treść
Mateusz Morawiecki	PiS	30.11.2020	Wirus jest w odwrocie	nasz hamulec bezpieczeństwo czyli restrykcja przynosić zamierzyć skutek opinia i zalecenie ekspert bywać bardzo niepopularny a historia pokazować że często wręcz ignorować za decyzja który podjąć być stoa jednak wyłącznie troska o zdrowie i życie milion Polak w tym przypadek rządowy rada medyczny do sprawa COVID 19 przy prezes rad minister i rządowy centrum analiza strategiczny przyjąć właściwy rekomendacja a rząd w ekspresowy temp wprowadzić on w życie odłożyć w czas efekt właściwy decyzja właśnie obserwować dana nie kłamać prosić spojrzeć na wykres wygrywać z epidemia liczba zakażenie spadać do czas otrzymać szczepionka stosować to co po prosty działo dystans dezynfekcja i maseczka kochany wytrzymać cierpliwość dyscyplina i solidarność opłacić się my wszyscy razem zwyciężyć wirus
Mateusz Morawiecki	PiS	01.07.2020	Wirus jest w odwrocie 2	ciesać się że coraz mało obawiać się to wirus ten epidemia to być dobre podejście bo on być w odwrocie już teraz nie trzeba się go bać trzeba pójść na wybory tłumnie 12 lipiec wszyscy zwłaszcza senior nie obawiać się iść na wybory to ważny żeby móc kontynuować ten sprawiedliwy linia rozwój
Krzysztof Bosak	Konfederacja	23.10.2020	Aborcja to zło	jeżeli jakiś dziecko być rzeczywiście z tak poważny wada że umrzeć w trakt poród czy po poroda no to po prosty umrzeć i to być proces naturalny nie mój tutaj powód żeby traktować to przypomnieć że w ten chwila standard medycyna prenatalny opieka położniczy zresztą tutaj zostać powołany przez poseł konfederacja zespół do_spraw opieka okołoporodowy i medycyna okres prenatalny życie być bardzo rozwinięta bardziej niż kiedykolwiek wczesno dużo dzisiaj być możliwość usuwać i leczenie ten wad który kiedyś były śmiertelna
Adrian Zandberg	Lewica	17.04.2020	O wyborze rzecznika praw obywatelskich	żałować że nie wybrać na rzecznik prawy obywatelski społecznik który pomóc tysiąc człowiek facet który być wiarygodny w tym co robić i PiS się nie kłaniać tak Ikonowicz mój lewicowy pogląd skoro dla platforma lewicowy pogląd to coś dyskwalifikować to mama dla on zły informacja lewica też mój lewicowy pogląd i być z on dumny
Andrzej Duda	PiS	13.06.2020	LGBT	próbować się my prosić państwo wmówić że to człowiek a to być po prosty ideologia jeżeli ktoś mój jakikolwiek wątpliwość czy to być ideologia czy nie to niech siebie zajrzeć w kart historia i zobaczyć jak wyglądać na świat budować ruch LGBT niech zobaczyć jak wyglądać budować ten ideologia jaki pogląd głosić ci który on budować
Andrzej Duda	PiS	28.10.2020	Strajk kobiet	być bardzo zasmucić ten sytuacja rozumieć kobieta który protestować choć wszyscy znać moja pogląd w pierwsza chwila gdy była mowa o wyrok TK być być zadowolony spodziewać być się jednak że trybunał zostawić czas na to by przepis zostać doprecyzować nie dziwić się gniew i obawa protestujący kobieta oczywisty sprawa być że w demokratyczny kraj protest być legalny prawo opozycja być organizacja protest natomiast akt agresja napad na kościół i wulgarny to coś na co nie mój miejsce w demokracja i to z cały moc potępiać nie chcieć już dodawać że taki demonstracja grozić dramatyczny wzrost zachorować na koronawirusa wzywać do spokój rozsądek i zachowanie się w sposób stonować
Andrzej Duda	PiS	23.10.2018	Unia europejska	wiele człowiek zadawać siebie pytanie dlaczego UE zabrać to zabrać tamto dlaczego na przykład w sklep nie można w ten chwila kupić już zwykły żarówka można kupić tylko żarówka energooszczędny nie wolno kupić bo UE zakazać
Andrzej Duda	PiS	15.08.2018	Wielka Defilada Niepodległości	człowiek wierzący powiedzieć Pan bóg stanąć w obrona Polska matka święty wesprzeć swoje chłopiec swoje dziecko żeby mogel się obronić przed sowiecki czerwona nawała po to żeby mogel obronić wolność niepodległość ale przed wszyscy obronić chrześcijaństwo i życie wiedzieć wszyscy doskonale że to tylko jeden z element sukces druga być geniusz dowódca męstwo żołnierz a przed wszyscy on umiejętność
Rafał Trzaskowski	PO	30.10.2020	Strajk kobiet	być tu na ulica Warszawa by zademonstrować solidarność z protestujący wiedzieć dlaczego tutaj być rozumieć wasz gniew niestety władza zafundować my tak haniebny decyzja w środek pandemia mieć nadzieja że rząd się cofnąć mimo cyniczny zapowiedzi Jarosław Kaczyński który podburzać nastrój to być absolutny warunek by móc rozmawiać to niesłychanie istotny żeby się wycofać z to haniebny orzeczenie przecież być możliwości PiS um to robić wtedy dopiero być w ogół można rozmawiać i uspokajać nastrój niestety PiS robić wszystko by te nastrój podgrzewać pełny odpowiedzialność spoczywać na rządząca
Rafał Trzaskowski	PO	21.12.2020	Poglądy PO	z ja telewizja publiczny chcieć zrobić jakiś lewak ja być człowiek centrum który mój jasny pogląd który mój olbrzym szacunek do tradycja po być partia który celować w to żeby rządzić w Polska i odzyskać zaufanie po być partia centrum w który być człowiek który maja trochę bardziej lewicowy pogląd i trochę bardziej tradycjonalistyczny pogląd przed wszyscy być partia europejski otwarty i demokratyczny
Rafał Trzaskowski	PO	09.02.2021	O TVP	wszyscy zerkać co jakiś czas do TVP info i widzieć tam propaganda który nie wiedzieć być w Polska od kilkadziesiąt lato nawet komunistyczny propaganda była bardziej subtelny po tym co PiS zrobić z TVP info to powinien być natychmiast zlikwidować żeby już nigdy nikt nie kusić jeśli dojść do władza zlikwidować TVP info na pewno nie pozwolić żeby jakikolwiek partia móc korzystać z narzędzie tak toporny propaganda
Zbigniew Ziobro	PiS	28.09.2020	LGBT	chcieć żyć w kraj w który być różny człowiek i maja on różny pogląd i różny wybory osobisty nikt nikt nie zaglądać w cztery ścian każdy mój pełny wolność również środowisko homoseksualny który móc się zrzeszać maja własne biblioteka dom kultura klub maja pełny swoboda i wolność to on dziś chcieć my pozostały część Polak narzucić swoje wartość i domagać się żeby być wszyscy on przyjąć można powiedzieć że wkraczać do sypialnia dziecko Polak i domagać się by rodzic uczyć swoje dziecko to z czym się nie zgadzać i co uważać za demoralizacja temu być się sprzeciwiać
Zbigniew Ziobro	PiS	26.11.2020	Strajk kobiet	wszyscy obserwować co się dzieje na ulica widzieć niebywale wulgarny język środowisko który kierować ten protest to być jakiś język margines społeczny i to być uwiarygadniać przez środowisko totalny opozycja media liberalny te sam który walczyć z mowa nienawiść wiele zachowanie agresywny który być kierować wobec policjant zasługiwać na reakcja
Zbigniew Ziobro	PiS	10.04.2021	Katastrofa smoleńska	11 lato temu prezydent RP Lech Kaczyński wraz z pierwsza dama Maria Kaczyńska oraz 94 członek delegacja rządowy zginąć w droga do Katyń gdzie mieć oddać hołd pomordowany Polak w 70 rocznica sowiecki zbrodnia nigdy nie zapomnieć o ten tragedia
